Latitude,Longitude,Altitude,Vertical Speed,MTE_Value,RA
  32.348824,-110.662985, 7425, -384,  32.348824, RA: Level Off
  32.349010,-110.663433, 7425, -384,  32.349010, RA: Level Off
  32.349150,-110.663770, 7425, -384,  32.349150, RA: Level Off
  32.349336,-110.664274, 7425, -384,  32.349336, RA: Level Off
  32.349336,-110.664274, 7425,  -64,  32.349336, RA: Level Off
  32.349662,-110.665115, 7425,  -64,  32.349662, RA: Level Off
  32.350021,-110.665997, 7425, -384,  32.350021, RA: Level Off
  32.350174,-110.666404, 7400, -384,  32.350174, RA: Level Off
  32.350174,-110.666404, 7400, -384,  32.350174, RA: Level Off
  32.350360,-110.666909, 7400, -192,  32.350360, RA: Level Off
  32.350640,-110.667750, 7400,    0,  32.350640, RA: Level Off
  32.350779,-110.668086, 7400, -128,  32.350779, RA: Level Off
  32.350937,-110.668469, 7400, -128,  32.350937, RA: Level Off
  32.351105,-110.668927, 7400,  -64,  32.351105, RA: Level Off
  32.351105,-110.668927, 7400, -256,  32.351105, RA: Level Off
  32.351385,-110.669711, 7400, -192,  32.351385, RA: Level Off
  32.351532,-110.670172, 7400,    0,  32.351532, RA: Level Off
  32.351710,-110.670552, 7400,    0,  32.351710, RA: Level Off
  32.351804,-110.670888, 7400,   64,  32.351804, RA: Level Off
  32.351990,-110.671393, 7400,   64,  32.351990, RA: Level Off
  32.351990,-110.671393, 7400,  128,  32.351990, RA: Level Off
  32.352127,-110.671820, 7400,  128,  32.352127, RA: Level Off
  32.352264,-110.672150, 7425,   64,  32.352264, RA: Level Off
  32.352409,-110.672514, 7425,   64,  32.352409, RA: Level Off
  32.352539,-110.672974, 7425,  256,  32.352539, RA: Level Off
  32.352539,-110.672974, 7425,  640,  32.352539, RA: Level Off
  32.352722,-110.673468, 7425,  448,  32.352722, RA: Level Off
  32.352874,-110.673859, 7425,  448,  32.352874, RA: Level Off
  32.352997,-110.674292, 7425,  192,  32.352997, RA: Level Off
  32.353154,-110.674700, 7425,  128,  32.353154, RA: Level Off
  32.353271,-110.675116, 7425,  128,  32.353271, RA: Level Off
  32.353546,-110.675940, 7425,  320,  32.353546, RA: Level Off
  32.353638,-110.676270, 7425,  256,  32.353638, RA: Level Off
  32.353759,-110.676718, 7450,  320,  32.353759, Clear of Conflict
